game_id,board_nr,player1,player2,starting_player,winner,repetition,n_moves,player1_avg_n_nodes,player2_avg_n_nodes,player1_avg_n_iter,player2_avg_n_iter,sudden_win_found,avg_depth,max_depth,min_depth,avg_n_entries_tptable
288,1,MCTS-AB,MCTS-PNS,1,1,19,59,20128.703703703704,14985.033333333333,43854.148148148146,90311.26666666666,True,0,0,0,
289,1,MCTS-AB,MCTS-PNS,2,0.5,19,61,10892.806451612903,11556.666666666666,50577.93548387097,57557.86666666667,False,0,0,0,
290,1,MCTS-AB,MCTS-PNS,1,2,20,17,19596.125,13361.555555555555,20580.625,24182.777777777777,False,0,0,0,
291,1,MCTS-AB,MCTS-PNS,2,1,20,33,13084.533333333333,13846.125,13443.466666666667,17615.5,True,0,0,0,
292,1,MCTS-AB,MCTS-PNS,1,2,21,13,16824.833333333332,13009.285714285714,18387.0,25869.571428571428,False,0,0,0,
293,1,MCTS-AB,MCTS-PNS,2,1,21,31,14703.642857142857,15272.066666666668,15408.642857142857,18881.2,True,0,0,0,
294,1,MCTS-AB,MCTS-PNS,1,2,22,27,15254.307692307691,13222.357142857143,19387.0,22758.214285714286,False,0,0,0,
295,1,MCTS-AB,MCTS-PNS,2,0.5,22,61,12960.838709677419,13576.6,54371.032258064515,61140.23333333333,False,0,0,0,
296,1,MCTS-AB,MCTS-PNS,1,1,23,40,15964.222222222223,18189.4,16398.61111111111,23200.85,True,0,0,0,
297,1,MCTS-AB,MCTS-PNS,2,2,23,59,15425.066666666668,18539.137931034482,102723.46666666666,60320.793103448275,False,0,0,0,
298,1,MCTS-AB,MCTS-PNS,1,0.5,24,61,10321.333333333334,12294.322580645161,67047.9,88648.6129032258,False,0,0,0,
299,1,MCTS-AB,MCTS-PNS,2,0.5,24,61,11109.645161290322,12011.533333333333,54443.25806451613,59824.166666666664,False,0,0,0,
